,title,director_and_actors,year,ratings,number_of_users_rated
45,The Departed,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",(2006),8.5,"8.5 based on 1,259,506 user ratings"
46,The Intouchables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",(2011),8.5,"8.5 based on 810,886 user ratings"
47,The Prestige,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",(2006),8.5,"8.5 based on 1,265,431 user ratings"
48,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",(1942),8.4,"8.4 based on 549,810 user ratings"
49,Once Upon a Time in the West,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",(1968),8.4,"8.4 based on 318,253 user ratings"
50,Rear Window,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",(1954),8.4,"8.4 based on 471,991 user ratings"
51,Nuovo Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",(1988),8.4,"8.4 based on 249,295 user ratings"
52,Alien,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",(1979),8.4,"8.4 based on 836,497 user ratings"
53,Apocalypse Now,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",(1979),8.4,"8.4 based on 638,906 user ratings"
54,Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",(2000),8.4,"8.4 based on 1,184,504 user ratings"
55,Raiders of the Lost Ark,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",(1981),8.4,"8.4 based on 928,244 user ratings"
56,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",(1940),8.4,"8.4 based on 215,934 user ratings"
57,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",(2012),8.4,"8.4 based on 1,455,201 user ratings"
58,The Lives of Others,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",(2006),8.4,"8.4 based on 377,174 user ratings"
59,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",(1957),8.4,"8.4 based on 189,706 user ratings"
60,Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",(1950),8.4,"8.4 based on 213,915 user ratings"
61,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",(2008),8.4,"8.4 based on 1,058,778 user ratings"
62,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",(2018),8.4,"8.4 based on 960,666 user ratings"
63,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",(1957),8.4,"8.4 based on 118,944 user ratings"
64,The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",(1980),8.4,"8.4 based on 961,982 user ratings"
65,Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",(2018),8.4,"8.4 based on 455,098 user ratings"
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",(1964),8.4,"8.4 based on 472,777 user ratings"
67,Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",(1997),8.3,"8.3 based on 371,759 user ratings"
68,Oldeuboi,"Park Chan-Wook (dir.), Choi Min-sik, Yoo Ji-Tae",(2003),8.3,"8.3 based on 550,049 user ratings"
69,Joker,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",(2019),8.3,"8.3 based on 1,118,777 user ratings"
70,Kimi no na wa.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",(2016),8.3,"8.3 based on 235,037 user ratings"
71,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",(2017),8.3,"8.3 based on 450,174 user ratings"
72,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",(2012),8.3,"8.3 based on 1,603,334 user ratings"
73,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",(1986),8.3,"8.3 based on 687,879 user ratings"
74,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",(1984),8.3,"8.3 based on 335,237 user ratings"
75,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",(2019),8.3,"8.3 based on 985,452 user ratings"
76,Capharnaüm,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",(2018),8.3,"8.3 based on 79,542 user ratings"
77,Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",(1981),8.3,"8.3 based on 243,326 user ratings"
78,Tengoku to jigoku,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",(1963),8.3,"8.3 based on 40,951 user ratings"
79,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",(2009),8.3,"8.3 based on 374,783 user ratings"
80,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",(1995),8.3,"8.3 based on 941,433 user ratings"
81,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",(1984),8.3,"8.3 based on 386,942 user ratings"
82,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",(1999),8.3,"8.3 based on 1,115,980 user ratings"
83,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",(1995),8.3,"8.3 based on 999,526 user ratings"
84,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",(2009),8.3,"8.3 based on 1,357,943 user ratings"
85,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",(2020),8.3,"8.3 based on 79,538 user ratings"
86,Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",(1997),8.3,"8.3 based on 916,061 user ratings"
87,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",(1983),8.3,"8.3 based on 1,000,228 user ratings"
88,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",(1968),8.3,"8.3 based on 639,150 user ratings"
89,Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",(1985),8.3,"8.3 based on 70,648 user ratings"
90,Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",(1992),8.3,"8.3 based on 971,278 user ratings"
