,title,director_and_actors,year,ratings,number_of_users_rated
201,Room,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",(2015),8.1,"8.1 based on 399,043 user ratings"
202,Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",(2016),8.1,"8.1 based on 480,983 user ratings"
203,La passion de Jeanne d'Arc,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",(1928),8.1,"8.1 based on 52,270 user ratings"
204,Andhadhun,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",(2018),8.1,"8.1 based on 85,810 user ratings"
205,Ford v Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale",(2019),8.1,"8.1 based on 348,506 user ratings"
206,12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",(2013),8.1,"8.1 based on 673,004 user ratings"
207,To Be or Not to Be,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",(1942),8.1,"8.1 based on 34,745 user ratings"
208,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",(1998),8.1,"8.1 based on 776,145 user ratings"
209,Dead Poets Society,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",(1989),8.1,"8.1 based on 458,096 user ratings"
210,How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",(2010),8.1,"8.1 based on 703,770 user ratings"
211,Ben-Hur,"William Wyler (dir.), Charlton Heston, Jack Hawkins",(1959),8.1,"8.1 based on 231,253 user ratings"
212,Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",(2015),8.1,"8.1 based on 944,972 user ratings"
213,Höstsonaten,"Ingmar Bergman (dir.), Ingrid Bergman, Liv Ullmann",(1978),8.1,"8.1 based on 32,463 user ratings"
214,Harry Potter and the Deathly Hallows: Part 2,"David Yates (dir.), Daniel Radcliffe, Emma Watson",(2011),8.1,"8.1 based on 819,556 user ratings"
215,Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",(2004),8.1,"8.1 based on 664,799 user ratings"
216,Ah-ga-ssi,"Park Chan-Wook (dir.), Kim Min-hee, Ha Jung-woo",(2016),8.1,"8.1 based on 132,390 user ratings"
217,Le salaire de la peur,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",(1953),8.1,"8.1 based on 58,958 user ratings"
218,Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",(1986),8.1,"8.1 based on 384,739 user ratings"
219,Network,"Sidney Lumet (dir.), Faye Dunaway, William Holden",(1976),8.1,"8.1 based on 154,032 user ratings"
220,Logan,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",(2017),8.1,"8.1 based on 704,563 user ratings"
221,La haine,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",(1995),8.0,"8.0 based on 163,421 user ratings"
222,Cool Hand Luke,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",(1967),8.0,"8.0 based on 171,939 user ratings"
223,Hachi: A Dog's Tale,"Lasse Hallström (dir.), Richard Gere, Joan Allen",(2009),8.0,"8.0 based on 270,873 user ratings"
224,Koe no katachi,"Naoko Yamada (dir.), Miyu Irino, Saori Hayami",(2016),8.0,"8.0 based on 68,312 user ratings"
225,Les quatre cents coups,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",(1959),8.0,"8.0 based on 113,096 user ratings"
226,Gangs of Wasseypur,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha",(2012),8.0,"8.0 based on 91,625 user ratings"
227,Platoon,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",(1986),8.0,"8.0 based on 399,748 user ratings"
228,Spotlight,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton",(2015),8.0,"8.0 based on 449,593 user ratings"
229,"Monsters, Inc.","Pete Docter (dir.), Billy Crystal, John Goodman",(2001),8.0,"8.0 based on 863,648 user ratings"
230,Rebecca,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",(1940),8.0,"8.0 based on 132,727 user ratings"
231,Life of Brian,"Terry Jones (dir.), Graham Chapman, John Cleese",(1979),8.0,"8.0 based on 386,265 user ratings"
232,Fa yeung nin wah,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung",(2000),8.0,"8.0 based on 140,294 user ratings"
233,Hotel Rwanda,"Terry George (dir.), Don Cheadle, Sophie Okonedo",(2004),8.0,"8.0 based on 346,656 user ratings"
234,Eskiya,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",(1996),8.0,"8.0 based on 68,600 user ratings"
235,Rush,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",(2013),8.0,"8.0 based on 459,266 user ratings"
236,Into the Wild,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",(2007),8.0,"8.0 based on 601,846 user ratings"
237,Rocky,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire",(1976),8.0,"8.0 based on 548,006 user ratings"
238,Amores perros,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",(2000),8.0,"8.0 based on 234,261 user ratings"
239,Kaze no tani no Naushika,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura",(1984),8.0,"8.0 based on 162,711 user ratings"
240,It Happened One Night,"Frank Capra (dir.), Clark Gable, Claudette Colbert",(1934),8.0,"8.0 based on 100,215 user ratings"
241,Before Sunset,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(2004),8.0,"8.0 based on 251,640 user ratings"
242,Fanny och Alexander,"Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin",(1982),8.0,"8.0 based on 62,033 user ratings"
243,Andrei Rublev,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov",(1966),8.0,"8.0 based on 51,760 user ratings"
244,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Hideaki Anno (dir.), Megumi Ogata, Megumi Hayashibara",(1997),8.0,"8.0 based on 49,136 user ratings"
245,La battaglia di Algeri,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",(1966),8.0,"8.0 based on 57,765 user ratings"
246,Le notti di Cabiria,"Federico Fellini (dir.), Giulietta Masina, François Périer",(1957),8.0,"8.0 based on 47,047 user ratings"
247,The Princess Bride,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin",(1987),8.0,"8.0 based on 414,694 user ratings"
248,Drishyam,"Jeethu Joseph (dir.), Mohanlal, Meena",(2013),8.0,"8.0 based on 38,919 user ratings"
249,Ratsasan,"Ram Kumar (dir.), Vishnu Vishal, Amala Paul",(2018),8.0,"8.0 based on 37,064 user ratings"
